primary_name,Address,city,Lunch Capacity,Dinner Capacity,pdr,Min Pdr Qty,BarAvailable,Valet Parking,Complimantary Drinks,Outlet Timings,Live Music,TV,Wheel Chair,Lift,Baby Chair,Landmark For Outlets
"Jessore Road, Barasat","Barasat, Dak Banglow More, N-19, Jessore Rd, Digberia, Kolkata, West Bengal 700124",Kolkata,148,148,false,0,False,No,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,Dak Banglow More
"JHV Mall, The Mall Road","3rd Floor, JHV Mall, The Mall Rd, Varanasi Cantt, Varanasi, Uttar Pradesh 221002",Varanasi,106,106,false,0,True,"No Valet Parking ( ""Mall Parking - paid parking"")",Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Monday to Friday Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Sat & Sun outlet is open by 12.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>Monday to Friday Dinner open by 06.00 pm and close 12.00 am and last entry for lunch 11.00 pm <br><br/>,False,False,False,True,True,4th floor mall road varnasi
JP Nagar,"67, 3rd Floor, 6th B Main, Phase III, J P Nagar, Bengaluru, Karnataka 560078, India",Bengaluru,144,144,false,0,True,Only Parking Assistance,"Lunch / Tuesday, Wednesday, Friday and Saturday / 1 Round / Soft drink",Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,Gold's Gym
"Kakkanad, Airport Road","""

3rd floor Esperanza, Kochi, Seaport - Airport Rd,

Thuthiyoor, Chittethukara, Kakkanad, Kerala- 682037.

""

",Kochi,144,144,false,0,False,NA,Lunch / Wednesday to Saturday / 1 Round / Soft drink or Mocktail.,"12:00 PM to 2:30 PM

2:30 PM TO 3:30PM

6:30 PM TO 9:00 PM

9:00 PM TO 11.00 PM",True,False,False,True,True,Seaport - Airport Rd
Kalyan Nagar,"No. 30, B.R.Plaza, 3rd Floor, 4th Cross, CMR Road, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043, India",Bengaluru,115,115,false,0,True,Only Parking Assistance,Only for Lunch from Friday and  Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,
Kalyani Nagar,"Palace View Road, Near Aga Khan Palace, Nagar Rd, Kalyani Nagar, Pune, Maharashtra 411006",Pune,200,200,true,60,True,YES,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,False,False,True,False,True,"Building,Opposite Shree Hospital"
Kanakpura Road,"Doddakallasandra Village, Kanakapura Main Road, Hobli, Uttarahalli Hobli, Bengaluru, Karnataka 560062",Bengaluru,114,114,false,0,False,Yes,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,Above KFC 3rd floor Kanakpura
"KNK Road, Nungambakkam","2nd Floor, #5/3 Bergamo Mall, Khader Nawaz Khan Road, Srirampuram, Nungambakkam, Chennai, Tamil Nadu-600006,India.",Chennai,148,148,false,0,False,No valet parking ( Mall Parking chargable ),Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,KHADARNAWAZ KHAN ROAD
Kompally,"2nd Floor,H.No.3-72, 2nd Floor, PPR Complex, Kompally, Secunderabad, Telangana 500014",Hyderabad,138,138,false,0,False,NA,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday..,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,True,False,False,True,True,"PPR Complex, Komapally"
Kondapur,"G-3, Sri Mythri Square, Opp Sarath City Mall, Kothaguda  (Kondapur )Hyderabad - 500084 . 

",Hyderabad,130,130,false,0,False,Yes,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,True,False,False,True,True,Sarath city Capital mall
Koramangala 1st Block,"1st Cross Rd, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034, India",Bengaluru,176,176,false,0,True,Only Parking Assistance,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,"1st Cross Rd, 1st Block Koramangala"
Koramangala 7th block,"118, 1st Floor,80 Feet Rd, KHB Colony, 7th Block, Koramangala, Bengaluru, 560095",Bengaluru,148,148,false,0,False,Yes,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,KHB Colony
Korum Mall Thane,"2nd Floor, Korum Mall, Mangal Pandy Road, Near Cadbury Compound, Eastern Express High Way.Thane- 400606",Mumbai,132,132,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 12.00 am and last entry 10.45 pm <br><br/>,False,False,False,True,True,Anna salai opp harish food zone
Kothapet," Unit No.G-3, Ground Floor, Vishnavi Onyx-1, no.8 & 9/1/1/15, Kiran Nagar, Doctors Colony, L. B. Nagar, Hyderabad, Telangana 500035",Hyderabad,170,170,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,True,False,False,True,True,Vishnavi Onyx-1
Lachit Nagar,"2nd Floor,, Adityam Building, Guwahati-Shillong Rd, Ulubari, Guwahati, Assam 781007",Guwahati,142,142,false,0,True,Yes,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and Close by 04.30 pm and Last entry for lunch 03.30 pm <br><br/><br><br/>Dinner open by 06.30 pm and close 11.30 pm and last 10.30 pm,False,False,False,True,True,Opp Dell Emc
"Lake Mall, Kalighat","Rash Behari Avenue, Kolkata, West Bengal 700029",Kolkata,110,110,false,0,False,No valet parking ( Mall Parking chargable),Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,
"Lakshmipuram Main Rd,Ashok Ngr","Aapanam Building, Door No: 5-87-34/8,

 3rd Floor Lakshmipuram MainRoad,

 Landmark- Next to Bakers's Fun, 

Guntur-AP  522006",Guntur,96,96,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,near to bakery sun
Laxmi Nagar,"BARBEQUE NATION 1ST FLOOR, B-126/10 GURUNANAKPURA, LAXMI NAGAR NEAR V3S MALL, NEW DELHI-110092",New Delhi,126,126,false,0,True,NA,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,False,True,"BARBEQUE NATION 1ST FLOOR, B-126/10 GURUNANAKPURA, LAXMI NAGAR NEAR V3S MALL, NEW DELHI-110092"
Lido Mall Mg Road,"1/4, Ground Floor, Lido Mall, Swami Vivekananda Road, Halasuru, Bengaluru, Karnataka 560008, India",Bengaluru,120,120,false,0,True,Mall Parking chargable,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,MG ROAD LIDO MALL NEAR METRO STATION
"Lulu Global Mall, Rajajinagar","Barbeque Nation Hospitality limited, LG floor, Gopalapura, Binnipete, Bengaluru, Karnataka 560023

",Bengaluru,174,174,false,0,False,NA,Lunch / Wednesday to Saturday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,BLR-Lulu Global Mall
"Lulu Mall, Amar Shaheed Path","Barbequenation-3rd Floor Lulu Mall, Amar Shaheed Path, Golf City, Sector B Ansal API,, Lucknow Tahsil, Lucknow, Uttar Pradesh-226030

",Lucknow,162,162,false,0,False,NA,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday,"12:00 PM to 2:30 PM

2:30 PM TO 3:30PM

6:00 PM TO 9:15 PM

9:30 PM TO 11.00 PM",True,False,False,True,True, Lucknow Tahsil
"Lulu Mall, Anayara"," 2nd floor,Lulu International Shopping Mall Pvt. Ltd TC 91/270, Akkulam Bridge, Anayara Post, Thiruvananthapuram, Kerala 695029

",Trivandrum,120,120,false,0,False,NA,Lunch / Monday to Friday / 1 Round / Soft drink or Mocktail.,"12:00 PM to 2:30 PM

2:30 PM TO 3:30PM

6:30 PM TO 9:00 PM

9:00 PM TO 11.00 PM",True,False,False,True,True,LULU MALL 
"Lulu Mall, Edappally","3rd floor 34/1000, Old NH 47, Edappally Junction, Nethaji Nagar, Edappally, Kochi, Kerala 682024

",Kochi,120,120,false,120,False,NA,Lunch / Monday to Friday / 1 Round / Soft drink or Mocktail.,"12:00 PM to 2:30 PM

2:30 PM TO 4:30PM

6:30 PM TO 9:00 PM

9:00 PM TO 11.00 PM",True,False,False,True,True,Edappally
"M3M IFC, Sector 66","2nd Floor, M3M International Financial Center, Badshahpur, Sector 66, Gurugram, Haryana 122002

",Gurugram,144,144,false,0,True,NO,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,False,False,M3M-IFC
Madhurawada," 3rd Floor Arena Building 100 feet Road, adjacent to Mango Hero Showroom, Midhilapuri Vuda Colony, Madhurawada, Visakhapatnam- 530041 

",Visakhapatnam,114,114,false,0,False,NO,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday..,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True, Arena Building
"Magneto Mall, Jivan Vihar","Unit SFPH 02-03, 2nd Floor, Magneto The Mall, G E Road, Labhandi, Jivan Vihar, Raipur, Chhattisgarh, 492010",Raipur,108,108,false,0,False,No,Only for Lunch from Monday to Friday  one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/><br><br/> Dinner by 06.30 pm and close 11.30 pm and last 10.30 pm,False,False,False,True,True,Raipur Magneto mall
"Mak Mall, Kankanady","Mak Mall, Father Mullers Rd, Kankanady, Mangaluru, Karnataka 575002, India",Mangalore,114,114,false,0,False,Only Parking Assistance,Lunch / Wednesday to Saturday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,make mall 3floor kankanady mangalore
"Manghalam Towers, Reynolds Rd","9, Reynolds Road, Cantonment, Tiruchirappalli, Tamil Nadu 620001, India",Trichy,90,90,false,0,False,NO,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,REYNOLDS ROAD MANGLAM CINIMA
"Marina Mall, Egattur","Barbeque nation chennai,Marina mall 3rd Floor 13/1A Old Mahabalipuram Road Egattur,Tamil Nadu-603103  

",Chennai,142,142,false,0,False,NA,Lunch / Wednesday to Saturday / 1 Round / Soft drink or Mocktail.,"Lunch open by 12.00 pm and close by 4.45 pm and last entry by 4.00 pm.

Dinner open by 06.30 pm and last entry by 11.00 pm and close by 11.45 pm",False,False,False,False,False,Old Mahabalipuram Road 
"Max Building, Circular Road","No 48, 3rd Floor, Max Building, Circular Road Next to Pantaloons Store, Ranchi, Jharkhand 834001",Ranchi,120,120,false,0,False,No,Only for Lunch from Monday to Friday  one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/>Dinner by 06.30 pm and close 11.30 pm and last 10.30 pm,False,False,False,True,True,max Showroom 3rdfloor
"Metro Junction Mall, Kalyan","2nd Floor, Metro Junction Mall, Netivali, Shil Road, Kalyan Near Metro Residency Complex, Kalyan, Maharashtra 421306, Kalyan East, Mumbai, Maharashtra 421306, India",Mumbai,104,104,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Wednesday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,Metro juncation mall kalyan
"Millenium Mall, KK Nagar","Milan'em Mall, 100 Feet Road, Managiri, KK Nagar, Madurai, Tamil Nadu 625020",Madurai,89,89,false,0,False,Mall Parking,Only for Lunch from Wednesday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,Millaniem mall 
Model Town,"Model Town : 2nd & 3rd Floor, B2 Gujranwala Town Part 1 Model town, New Delhi 110009

",New Delhi,90,90,false,0,False,n/a,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,True,False,False,True,True,Part 1 Model town
"More Mega Mall, Marathahalli","Barbeque Nation,No 204 SY  88  3rd floor Munnekolalu village Varthur Hobli  Bangalore 560037

",Bengaluru,186,186,false,0,True,Yes,We serve 1 round of complimentary drinks in Lunch from Monday to Saturday,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,False,False,Marathahlli 
"Municipal Office Road, Noyyal","2nd Floor, Veera Avenue, No 24, Above Big Bazaar, Municipal Office Road Near Valarmathi Bus Stop, Tamil Nadu 641604",Tirupur,92,92,false,0,False,No,No,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,True,True,True,"Near Valarmathi Bus Stop,"
"Nanakramguda Road, Gachibowli","Ground Floor, Anvis Eco Grand, Nanakramaguda Road, Beside Wipro Lake, Financial District, Gachibowli, Hyderabad, Telangana 500036",Hyderabad,105,105,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,False,True,Nanakramaguda Road
"New Town, Rajarhat","Shop No. 207, Block M, 2nd Floor, New Town Rajarhat,

Action Area IID, Newtown

Kolkata, 

West Bengal 700156,

India",Kolkata,140,140,false,0,True,No,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,Inside City centre 2 mall
Nexus Ahmedabad One Mall,"Phase 2, 3rd Floor, Nexus Ahmedabad One,Plot No. 216, TP Scheme 1, Near Vastrapur Lake,Vastrapur, Ahmedabad - 380054, Gujarat

",Ahmedabad,132,132,false,0,False,NA,NA,"1200 to 02.30 hrs	2:30 PM TO 3:30PM	6:30PM TO 9:30PM	9:30PM TO 10:45PM

",False,False,False,False,False,Near Vastrapur Lake
Nexus Amritsar Mall,"UNIT NO - 36,37 SECOND FLOOR,NEXUS AMRITSAR,MBM FARMS GT ROAD,AMRITSAR PUNJAB,143001

",Amritsar,104,104,false,0,False,NA,No,"12:00 PM to 2:15 PM

2:30 PM TO 3:30PM

6:00 PM TO 9:00 PM

9:15 PM TO 11.30 PM

",True,False,False,True,True,FARMS GT ROAD
Nexus Mall,"Mysore -The Nexus centre city mall, No-8,Old -5,Abba Road,Also Hyder Ali Road,Nazarabad Mohalla,Mysore Mall-570010",Mysore,112,112,false,0,False,n/a,We serve 1 round of complimentary drinks in Lunch Mon to Sat,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,
"Nexus Shantiniketan,Whitefield","Barbeque nation Nexus Shantiniketan Mall Whitefiled Main Road, Thiglarapalya krishanarajpura, Bengluru, karanataka,560067

",Bengaluru,116,116,false,0,False,n/a,We serve 1 round of complimentary drinks in Lunch Mon to Sat,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,Whitefiled Main Road 
Nexus Whitefiled,"Barbeque Nation Nexus Whitefield Mall   3rd floor,No-62 Whitefield Main Road   Bangalore 560066

",Bengaluru,116,116,false,0,False,NA,NA,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,True,WHITEFILED 
"NVR Central, Grand Trunk Road","4th Floor, NVR Central, Above Dr. Agarwal Eye Hospital, Grand Trunk Road, Saraswathi Nagar, Nellore, Andhra Pradesh 524004",Nellore,90,90,false,0,False,YES,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,False,False,False,True,True,avo agarbal hospital
Omr,"Barbeque Nation Hospitality Ltd, Rajiv Garden Street, Sakthi Nagar, Okkiyam Thuraipakkam, Chennai, Tamil Nadu 600097, India",Chennai,120,120,false,0,False,Self parking,Only for Lunch Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry is 11.00 pm <br><br/>,False,False,False,False,True," Caculo Mall,"
"One Mall, Fraser Road Area","8th Floor, Patna One Mall, New Dak Bunglow Road, Bander Bagicha, Fraser Road Area, Patna, Bihar 800001",Patna,120,120,false,0,False,No,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,"Dark Bangalaw Chowk, Patrol pump"
"Orion Mall, Panvel","FP No 311, 3rd Floor, Orion Mall, Bus Depot, Mumbai - Pune Expy, Panvel, Mumbai, Maharashtra 410206",Mumbai,100,100,false,0,True,No valet parking ( Mall Parking chargable),Lunch / Wednesday to Friday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 10.45 pm <br><br/>,False,False,False,True,True,"Model town,matharani chowk"
"Pacific D21 Mall,Sec-21,Dwarka"," 2nd Floor Pacific Mall, Shop No. SH/2F/05 and SH/2F/08 Dwarka Sec 21, DWARKA, South West, Delhi-110077

",New Delhi,114,114,false,0,False,NA,Lunch / Monday to Friday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,True,False,False,True,True,Pacific Malll Dwarka sec 21
"Panchsheel Colony, Garh Road","3rd Floor, Khasra No 5832, Pinnacle Tower, Panchsheel Colony, Vaishali Colony, Panchsheel Colony, Meerut, Uttar Pradesh 250003",Meerut,100,100,false,0,False,Mall Parking,No,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,True,NO
Paras One33 Mall,"2nd floor,  C1 D1, Paras One 33, sector 133,near Jp Wishtown Noida 201304",Noida,130,130,false,0,False,NO,Only for Lunch from Monday to Friday  one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,False,Paras one 33
Park Street,"24, 1st Floor, Center Building Park, Park St, Kolkata, West Bengal 700016",Kolkata,160,160,false,0,True,Only Parking Assistance ( Paid Parking ),Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner open by 06.30 pm and close by 11.00 pm and last entry 10.00 pm <br><br/>,False,False,True,True,False,ATR tower 
"Parle Point, Athwa","1st Floor, Golden Square, Parle Point Flyover, near Sargam Shopping Center, Somanath Society, Umra Gam, Athwa, Surat, Gujarat 395007, India",Surat,120,120,false,0,False,Only Parking Assistance,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,"Lunch open by 12.00 pm and close by 4.30 pm and last entry is 3.00 pm,<br><br/> Dinner start by 06.30 pm and close by 11.00 pm and last entry is 10.00 pm<br><br/>",False,False,False,True,True,SARGAM SHOPPING CENTR
"Parle Square Mall, Vile Parle East","Shyam Kamal Road,Agarwal Market,Vile Parle East,Mumbai, Maharashtra 400057

",Mumbai,130,130,false,0,False,NA,We serve 1 round of complimentary drinks in Lunch(Mon to Fri),Lunch start by 12.00 pm and close by 05.00 pm and last entry by 04.00 pm and Dinner open by 06.30 pm and close by 11.45 pm and last entry by 11.00 pm,True,False,False,True,True,"Agarwal Market,Vile Parle "
Phoenix Market City,"Phoenix Market City,Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Bangalore 560048",Bengaluru,144,144,false,0,False,no,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 05.00 pm and last entry is 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.55 pm and last entry is 11.00 pm <br><br/>,True,False,False,True,False,
"Phoenix Marketcity, Kurla West","Barbeque Nation Hospitality Ltd, Unit no-S-49,50, 2nd floor, Phoenix Market City, Kurla Mumbai-400070.

",Mumbai,110,110,false,0,True,No valet parking ( Mall Parking chargable),Only for Lunch from Wednesday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.30 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 11.00 pm <br><br/>,True,False,False,True,False,Kurla Phoenix Mall
"Pithapuram Road, Kakinada","SRMT Mall & Multiplex uni no 2 4th floor D.No.4-21,pithampuram Road Kakinada 533005 Andhra Pradesh

",Kakinada,96,96,false,0,False,No,Only for Lunch from Monday to Saturday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.30 pm and last entry for lunch 03.45 pm <br><br/> Dinner by 06.30 pm and close by 10.30 pm and last entry 09.30 pm <br><br/>,True,False,False,True,True,SRMT MALL
"Platina Mall, Howrah","Barbeque Nation Hospitality limited,,5th floor,Platina Mall, Nitydhan Mukherjee Rd, Opposite Howrah Maidan, West Bengal-711101

",Kolkata,96,96,false,0,False,NA,We serve 1 round of complimentary drinks in Lunch from Monday to Friday.,"Lunch open by 12.00 pm and close by 4.30 pm and last entry by 3.30 pm.

Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm",False,False,False,True,True,Opposite Howrah Maidan
Prahlad Nagar,"1st Floor, Holiday INN Express Hotel, 100 Feet Road, Beside Venus Atlantis, Prahlad Nagar, Ahmedabad, Gujarat 380015, India",Ahmedabad,116,116,true,16,False,Only Parking Assistance,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,"Lunch open by 12.00 pm and close by 4.30 pm and last entry is 3.15 pm,<br><br/> Dinner start by 06.30 pm and close by 11.00 pm and last entry is 10.30 pm<br><br/>",False,False,True,True,True,Prahlad Nagar
Prozone Mall,"1st floor & Lower Ground Floor,Prozone Mall,Plot No-P-80,Chikalthana Industrial Area,masanatpur,Aurangabad-431006",Aurangabad,100,100,false,0,False,No valet parking ( Mall Parking chargable),Only for Lunch from Wednesday and Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close 04.45 pm and last entry for lunch 04.00 pm <br><br/> Dinner by 06.30 pm and close by 11.45 pm and last entry 10.30 pm <br><br/>,False,False,False,True,True,prozone mall
"Punjabi colony, Gannipur","Near Reliance Pertol Pump, Shivmitra Tower,above Zudio

",Muzaffarpur,104,104,false,0,False,NA,Monday to Friday Lunch one soft drink,"Lunch Open by 12.00 pm and close by 04.30 pm and last entry by 03.30 pm & 

Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.00 pm",False,False,False,True,True,"Near Reliance Pertol Pump, above Zudio"
"R Deccan Mall, JM Road","3rd Floor R Deccan Mall, J M Rd, Pulachi Wadi, Deccan Gymkhana, Pune, Maharashtra 411004, India",Pune,186,186,false,0,True,No,Only for Lunch from Monday to Friday one round soft drink or Mocktails.,Lunch open by 12.00 pm and close by 04.30 pm and last entry is 03.30 pm.<br><br/> Dinner open by 06.30 pm and close by 11.30 pm and last entry by 10.30 pm.,False,False,False,True,True,NO
"Rainbow Road, Model Town","387-L, Prakash Nagar Rd, Prakash Nagar, Model Town, Jalandhar, Punjab 144003",Jalandhar,88,88,false,0,True,Yes,Only for Lunch from Monday to Friday one round soft drink or Mocktails or One Pint of Beer.,Lunch open by 12.00 pm and close 05.00 pm and last entry 04.00 pm <br><br/>Dinner open by 06.00 pm and close 12.00 am and last entry 11.00 pm <br><br/>,False,False,False,True,True,"Model town,matharani chowk"
Rajpur Road,"1St Floor Chodhary Plaza opposite of silver city multiplex Rajpur Road Dehradun, 248001",Dehradun,110,110,false,0,True,Only Parking Assistance,Lunch / Monday to Friday / 1 Round / Soft drink or Mocktail.,Lunch open by 12.00 pm and close by 05.00 pm and last entry 04.00 pm. Dinner open by 06.30 pm and close by 11.00 pm and last entry by 10.00 pm.,False,False,False,True,True,opp silver city mall
